"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"North Carolina"	"37"	600	8049313	7.5
	"2000"	"2000"	"North Dakota"	"38"	41	642200	6.4
	"2000"	"2000"	"Ohio"	"39"	664	11353140	5.8
	"2000"	"2000"	"Oklahoma"	"40"	701	3450654	20.3
	"2000"	"2000"	"Oregon"	"41"	463	3421399	13.5
	"2000"	"2000"	"Pennsylvania"	"42"	479	12281054	3.9
	"2000"	"2000"	"Rhode Island"	"44"	38	1048319	3.6
	"2000"	"2000"	"South Carolina"	"45"	258	4012012	6.4
	"2000"	"2000"	"South Dakota"	"46"	65	754844	8.6
	"2000"	"2000"	"Tennessee"	"47"	357	5689283	6.3
	"2000"	"2000"	"Texas"	"48"	1007	20851820	4.8
	"2000"	"2000"	"Utah"	"49"	232	2233169	10.4
	"2000"	"2000"	"Vermont"	"50"	60	608827	9.9
	"2000"	"2000"	"Virginia"	"51"	435	7078515	6.1
	"2000"	"2000"	"Washington"	"53"	609	5894121	10.3
	"2000"	"2000"	"West Virginia"	"54"	148	1808344	8.2
	"2000"	"2000"	"Wisconsin"	"55"	315	5363675	5.9
	"2000"	"2000"	"Wyoming"	"56"	50	493782	10.1
"Total"	"2000"	"2000"			19674	281421906	7.0
	"2001"	"2001"	"Alabama"	"01"	179	4467634	4.0
	"2001"	"2001"	"Alaska"	"02"	57	633714	9.0
	"2001"	"2001"	"Arizona"	"04"	418	5273477	7.9
	"2001"	"2001"	"Arkansas"	"05"	151	2691571	5.6
	"2001"	"2001"	"California"	"06"	2885	34479458	8.4
	"2001"	"2001"	"Colorado"	"08"	386	4425687	8.7
	"2001"	"2001"	"Connecticut"	"09"	194	3432835	5.7
	"2001"	"2001"	"Delaware"	"10"	81	795699	10.2
	"2001"	"2001"	"District of Columbia"	"11"	135	574504	23.5
	"2001"	"2001"	"Florida"	"12"	1557	16356966	9.5
	"2001"	"2001"	"Georgia"	"13"	464	8377038	5.5
	"2001"	"2001"	"Hawaii"	"15"	61	1225948	5.0
	"2001"	"2001"	"Idaho"	"16"	145	1319962	11.0
	"2001"	"2001"	"Illinois"	"17"	720	12488445	5.8
	"2001"	"2001"	"Indiana"	"18"	363	6127760	5.9
	"2001"	"2001"	"Iowa"	"19"	182	2931997	6.2
	"2001"	"2001"	"Kansas"	"20"	172	2702162	6.4
	"2001"	"2001"	"Kentucky"	"21"	289	4068132	7.1
	"2001"	"2001"	"Louisiana"	"22"	157	4477875	3.5
	"2001"	"2001"	"Maine"	"23"	128	1285692	10.0
	"2001"	"2001"	"Maryland"	"24"	355	5374691	6.6
	"2001"	"2001"	"Massachusetts"	"25"	295	6397634	4.6
	"2001"	"2001"	"Michigan"	"26"	647	9991120	6.5
	"2001"	"2001"	"Minnesota"	"27"	430	4982796	8.6
	"2001"	"2001"	"Mississippi"	"28"	113	2852994	4.0
	"2001"	"2001"	"Missouri"	"29"	388	5641142	6.9
	"2001"	"2001"	"Montana"	"30"	101	906961	11.1
	"2001"	"2001"	"Nebraska"	"31"	76	1719836	4.4
	"2001"	"2001"	"Nevada"	"32"	356	2098399	17.0
	"2001"	"2001"	"New Hampshire"	"33"	124	1255517	9.9
	"2001"	"2001"	"New Jersey"	"34"	539	8492671	6.3
	"2001"	"2001"	"New Mexico"	"35"	390	1831690	21.3
	"2001"	"2001"	"New York"	"36"	1162	19082838	6.1
	"2001"	"2001"	"North Carolina"	"37"	647	8210122	7.9
	"2001"	"2001"	"North Dakota"	"38"	54	639062	8.4
	"2001"	"2001"	"Ohio"	"39"	738	11387404	6.5
	"2001"	"2001"	"Oklahoma"	"40"	306	3467100	8.8
	"2001"	"2001"	"Oregon"	"41"	481	3467937	13.9
	"2001"	"2001"	"Pennsylvania"	"42"	489	12298970	4.0
	"2001"	"2001"	"Rhode Island"	"44"	56	1057142	5.3
	"2001"	"2001"	"South Carolina"	"45"	228	4064995	5.6
	"2001"	"2001"	"South Dakota"	"46"	80	757972	10.6
	"2001"	"2001"	"Tennessee"	"47"	407	5750789	7.1
	"2001"	"2001"	"Texas"	"48"	1152	21319622	5.4
	"2001"	"2001"	"Utah"	"49"	210	2283715	9.2
	"2001"	"2001"	"Vermont"	"50"	77	612223	12.6
	"2001"	"2001"	"Virginia"	"51"	423	7198362	5.9
	"2001"	"2001"	"Washington"	"53"	693	5985722	11.6
	"2001"	"2001"	"West Virginia"	"54"	202	1801481	11.2
	"2001"	"2001"	"Wisconsin"	"55"	383	5406835	7.1
	"2001"	"2001"	"Wyoming"	"56"	55	494657	11.1
"Total"	"2001"	"2001"			20381	284968955	7.2
	"2002"	"2002"	"Alabama"	"01"	187	4480089	4.2
	"2002"	"2002"	"Alaska"	"02"	55	642337	8.6
	"2002"	"2002"	"Arizona"	"04"	493	5396255	9.1
	"2002"	"2002"	"Arkansas"	"05"	176	2705927	6.5
	"2002"	"2002"	"California"	"06"	3944	34871843	11.3
	"2002"	"2002"	"Colorado"	"08"	367	4490406	8.2
	"2002"	"2002"	"Connecticut"	"09"	215	3458749	6.2
	"2002"	"2002"	"Delaware"	"10"	94	806169	11.7
	"2002"	"2002"	"District of Columbia"	"11"	111	573158	19.4
	"2002"	"2002"	"Florida"	"12"	1442	16689370	8.6
	"2002"	"2002"	"Georgia"	"13"	482	8508256	5.7
	"2002"	"2002"	"Hawaii"	"15"	55	1239613	4.4
	"2002"	"2002"	"Idaho"	"16"	127	1340372	9.5
	"2002"	"2002"	"Illinois"	"17"	685	12525556	5.5
	"2002"	"2002"	"Indiana"	"18"	375	6155967	6.1
	"2002"	"2002"	"Iowa"	"19"	186	2934234	6.3
	"2002"	"2002"	"Kansas"	"20"	223	2713535	8.2
	"2002"	"2002"	"Kentucky"	"21"	273	4089875	6.7
	"2002"	"2002"	"Louisiana"	"22"	190	4497267	4.2
	"2002"	"2002"	"Maine"	"23"	124	1295960	9.6
	"2002"	"2002"	"Maryland"	"24"	364	5440389	6.7
	"2002"	"2002"	"Massachusetts"	"25"	329	6417206	5.1
	"2002"	"2002"	"Michigan"	"26"	667	10015710	6.7
	"2002"	"2002"	"Minnesota"	"27"	485	5018935	9.7
	"2002"	"2002"	"Mississippi"	"28"	130	2858681	4.5
	"2002"	"2002"	"Missouri"	"29"	411	5674825	7.2
	"2002"	"2002"	"Montana"	"30"	117	911667	12.8
	"2002"	"2002"	"Nebraska"	"31"	96	1728292	5.6
	"2002"	"2002"	"Nevada"	"32"	365	2173791	16.8
	"2002"	"2002"	"New Hampshire"	"33"	97	1269089	7.6
	"2002"	"2002"	"New Jersey"	"34"	492	8552643	5.8
	"2002"	"2002"	"New Mexico"	"35"	399	1855309	21.5
	"2002"	"2002"	"New York"	"36"	1209	19137800	6.3
	"2002"	"2002"	"North Carolina"	"37"	614	8326201	7.4
	"2002"	"2002"	"North Dakota"	"38"	67	638168	10.5
	"2002"	"2002"	"Ohio"	"39"	789	11407889	6.9
	"2002"	"2002"	"Oklahoma"	"40"	270	3489080	7.7
	"2002"	"2002"	"Oregon"	"41"	568	3513424	16.2
	"2002"	"2002"	"Pennsylvania"	"42"	509	12331031	4.1
	"2002"	"2002"	"Rhode Island"	"44"	48	1065995	4.5
	"2002"	"2002"	"South Carolina"	"45"	211	4107795	5.1
	"2002"	"2002"	"South Dakota"	"46"	63	760020	8.3
	"2002"	"2002"	"Tennessee"	"47"	393	5795918	6.8
	"2002"	"2002"	"Texas"	"48"	1314	21690325	6.1
	"2002"	"2002"	"Utah"	"49"	226	2324815	9.7
	"2002"	"2002"	"Vermont"	"50"	81	615442	13.2
	"2002"	"2002"	"Virginia"	"51"	469	7286873	6.4
	"2002"	"2002"	"Washington"	"53"	694	6052349	11.5
	"2002"	"2002"	"West Virginia"	"54"	201	1805414	11.1
	"2002"	"2002"	"Wisconsin"	"55"	375	5445162	6.9
	"2002"	"2002"	"Wyoming"	"56"	58	500017	11.6
"Total"	"2002"	"2002"			21915	287625193	7.6
	"2003"	"2003"	"Alabama"	"01"	172	4503491	3.8
	"2003"	"2003"	"Alaska"	"02"	57	648414	8.8
	"2003"	"2003"	"Arizona"	"04"	542	5510364	9.8
	"2003"	"2003"	"Arkansas"	"05"	225	2724816	8.3
	"2003"	"2003"	"California"	"06"	4004	35253159	11.4
	"2003"	"2003"	"Colorado"	"08"	363	4528732	8.0
	"2003"	"2003"	"Connecticut"	"09"	169	3484336	4.9
	"2003"	"2003"	"Delaware"	"10"	108	818003	13.2
	"2003"	"2003"	"District of Columbia"	"11"	117	568502	20.6
	"2003"	"2003"	"Florida"	"12"	1612	17004085	9.5
	"2003"	"2003"	"Georgia"	"13"	488	8622793	5.7
	"2003"	"2003"	"Hawaii"	"15"	82	1251154	6.6
	"2003"	"2003"	"Idaho"	"16"	131	1363380	9.6
	"2003"	"2003"	"Illinois"	"17"	673	12556006	5.4
	"2003"	"2003"	"Indiana"	"18"	372	6196638	6.0
